DATE,JDAY,TA,RN,ST
2018-01-01 00,1,2.2,-999,堡林
2018-01-01 01,1.04166666666667,1.8,-999,堡林
2018-01-01 02,1.08333333333333,1.9,-999,堡林
2018-01-01 03,1.125,1.2,-999,堡林
2018-01-01 04,1.16666666666667,-0.1,-999,堡林
2018-01-01 05,1.20833333333333,-0.5,-999,堡林
2018-01-01 06,1.25,-0.7,-999,堡林
2018-01-01 07,1.29166666666667,-0.3,-999,堡林
2018-01-01 08,1.33333333333333,-0.8,-999,堡林
2018-01-01 09,1.375,0.3,-999,堡林
2018-01-01 10,1.41666666666667,2.7,-999,堡林
2018-01-01 11,1.45833333333333,4.3,-999,堡林
2018-01-01 12,1.5,5.1,-999,堡林
2018-01-01 13,1.54166666666667,6.6,-999,堡林
2018-01-01 14,1.58333333333333,6.5,-999,堡林
2018-01-01 15,1.625,6.1,-999,堡林
2018-01-01 16,1.66666666666667,6.1,-999,堡林
2018-01-01 17,1.70833333333333,5.1,-999,堡林
2018-01-01 18,1.75,4.1,-999,堡林
2018-01-01 19,1.79166666666667,3.7,-999,堡林
2018-01-01 20,1.83333333333333,2.6,-999,堡林
2018-01-01 21,1.875,1.7,-999,堡林
2018-01-01 22,1.91666666666667,1.7,-999,堡林
2018-01-01 23,1.95833333333333,0.6,-999,堡林
2018-01-02 00,2,0.5,-999,堡林
2018-01-02 01,2.04166666666667,0.1,-999,堡林
2018-01-02 02,2.08333333333333,-0.7,-999,堡林
2018-01-02 03,2.125,-0.5,-999,堡林
2018-01-02 04,2.16666666666667,-1.4,-999,堡林
2018-01-02 05,2.20833333333333,-2.6,-999,堡林
2018-01-02 06,2.25,-2.5,-999,堡林
2018-01-02 07,2.29166666666667,-2.6,-999,堡林
2018-01-02 08,2.33333333333333,-2.1,-999,堡林
2018-01-02 09,2.375,-1,-999,堡林
2018-01-02 10,2.41666666666667,0.2,-999,堡林
2018-01-02 11,2.45833333333333,1.8,-999,堡林
2018-01-02 12,2.5,4.3,-999,堡林
2018-01-02 13,2.54166666666667,5.7,-999,堡林
2018-01-02 14,2.58333333333333,6.5,-999,堡林
2018-01-02 15,2.625,6.8,-999,堡林
2018-01-02 16,2.66666666666667,7.4,-999,堡林
2018-01-02 17,2.70833333333333,6.8,-999,堡林
2018-01-02 18,2.75,6.4,-999,堡林
2018-01-02 19,2.79166666666667,5.8,-999,堡林
2018-01-02 20,2.83333333333333,3.9,-999,堡林
2018-01-02 21,2.875,3.3,-999,堡林
2018-01-02 22,2.91666666666667,2.5,-999,堡林
2018-01-02 23,2.95833333333333,1.7,-999,堡林
2018-01-03 00,3,1.1,-999,堡林
2018-01-03 01,3.04166666666667,0.6,-999,堡林
2018-01-03 02,3.08333333333333,0.8,-999,堡林
2018-01-03 03,3.125,0.7,-999,堡林
2018-01-03 04,3.16666666666667,0,-999,堡林
2018-01-03 05,3.20833333333333,-0.3,-999,堡林
2018-01-03 06,3.25,-1,-999,堡林
2018-01-03 07,3.29166666666667,-1.5,-999,堡林
2018-01-03 08,3.33333333333333,-2.5,-999,堡林
